datetime,accelerationx,accelerationy,accelerationz,velocityx,velocityy,velocityz,temperature,Componente
2024-09-11T00:00:00.000Z,,,,,,,,EM3401 102B0442 Bomba Secção P2
2024-09-11T00:04:46.000Z,,,,,,,85.61646270751953,EM3401 102B0442 Bomba Secção P2
2024-09-11T01:04:46.000Z,,,,,,,86.00633239746094,EM3401 102B0442 Bomba Secção P2
2024-09-11T02:04:46.000Z,,,,,,,86.99969482421875,EM3401 102B0442 Bomba Secção P2
2024-09-11T03:04:46.000Z,,,,,,,84.31868743896484,EM3401 102B0442 Bomba Secção P2
2024-09-11T04:04:46.000Z,,,,,,,83.76325988769531,EM3401 102B0442 Bomba Secção P2
2024-09-11T05:04:46.000Z,,,,,,,86.12916564941406,EM3401 102B0442 Bomba Secção P2
2024-09-11T06:04:46.000Z,,,,,,,85.22125244140625,EM3401 102B0442 Bomba Secção P2
2024-09-11T07:04:46.000Z,,,,,,,80.05149841308594,EM3401 102B0442 Bomba Secção P2
2024-09-11T08:04:46.000Z,,,,,,,79.68299102783203,EM3401 102B0442 Bomba Secção P2
2024-09-11T09:04:46.000Z,,,,,,,83.20248413085938,EM3401 102B0442 Bomba Secção P2
2024-09-11T10:04:46.000Z,,,,,,,84.68184661865234,EM3401 102B0442 Bomba Secção P2
2024-09-11T11:04:46.000Z,,,,,,,84.07301330566406,EM3401 102B0442 Bomba Secção P2
2024-09-11T12:04:46.000Z,,,,,,,88.51110076904297,EM3401 102B0442 Bomba Secção P2
2024-09-11T13:04:46.000Z,,,,,,,86.5991439819336,EM3401 102B0442 Bomba Secção P2
2024-09-11T14:04:46.000Z,,,,,,,82.09162902832031,EM3401 102B0442 Bomba Secção P2
2024-09-11T16:41:02.000Z,,,,,,,75.50125885009766,EM3401 102B0442 Bomba Secção P2
2024-09-12T09:52:37.000Z,0.03118371777236462,0.01934573799371719,0.02230106294155121,0.3242031633853912,0.4001946449279785,0.408948689699173,20.55123138427734,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T10:00:03.000Z,0.2505247592926025,0.6533356308937073,0.2320742160081863,1.601582169532776,12.35780143737793,1.449465155601501,20.70077133178711,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T11:00:03.000Z,0.0362510047852993,0.0594460666179657,0.03287437185645103,1.411973357200623,3.881346464157104,0.71889728307724,21.33096885681152,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T12:00:03.000Z,0.1335744559764862,0.5821397304534912,0.09508750587701797,1.323479413986206,8.070052146911621,1.276495099067688,21.59266090393066,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T13:00:03.000Z,0.03116683475673199,0.02222967520356178,0.02724866382777691,0.4653044939041138,0.53242027759552,0.4737288355827332,21.25085830688477,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T14:00:03.000Z,0.03079910576343536,0.03215743973851204,0.02235398255288601,1.812171697616577,0.7667222023010254,0.4695516228675842,21.66742897033691,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T15:00:03.000Z,0.03064815886318684,0.03138536214828491,0.0203715767711401,0.7504426836967468,1.233960032463074,0.4790960252285004,22.31365013122559,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T16:00:03.000Z,0.02724864892661572,0.03155317902565002,0.02104311250150204,0.6690040230751038,0.6441382765769958,0.4473417997360229,22.36705589294434,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T17:00:03.000Z,0.01914701797068119,0.03071119263768196,0.01897241361439228,0.3265282809734344,0.5924309492111206,0.3468900620937347,22.86373710632324,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T18:00:03.000Z,0.01889633759856224,0.03129025548696518,0.02092405222356319,0.3889674246311188,0.9812510013580322,0.4858787953853607,22.61272621154785,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T19:00:03.000Z,0.02773226797580719,0.03126652538776398,0.01961179636418819,0.664830207824707,0.8883067965507507,0.30569988489151,21.90241813659668,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T20:00:03.000Z,0.03892084583640099,0.03503811359405518,0.05612190812826157,0.6716538071632385,0.9643656611442566,0.6334531307220459,22.45784759521484,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T21:00:03.000Z,0.03081294149160385,0.02120865695178509,0.03157206252217293,0.6442996859550476,0.4861868023872375,0.6793026924133301,21.50720977783203,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T22:00:03.000Z,0.03082656115293503,0.02181827835738659,0.0312347374856472,0.9018950462341309,0.4538207650184631,0.6089913845062256,20.88235282897949,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-12T23:00:03.000Z,0.03082973323762417,0.02079189941287041,0.03124990314245224,0.7294387221336365,0.2757751047611237,0.7299568057060242,20.36430931091309,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-13T00:00:03.000Z,0.03095091506838799,0.02000290155410767,0.03124322183430195,0.6283541321754456,0.3347468972206116,0.5605056285858154,20.16670417785645,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-13T01:00:03.000Z,0.03077055513858795,0.02127551287412643,0.03138186782598495,0.5176994800567627,0.348639190196991,0.752412736415863,20.02250671386719,6030-6P3000101_DyL102B0138 Redutor Giro LD
2024-09-13T02:00:03.000Z,0.03069576807320118,0.01996437460184097,0.03124960139393806,0.6578172445297241,0.3776461482048035,0.6359055042266846,19.94773864746094,6030-6P3000101_DyL102B0138 Redutor Giro LD
