metricDescriptorId,datetime,max,avg,min,count
668febad57480af249f904e5,2024-09-08T16:25:51.000Z,0.47556552290916443,0.09161784425377846,0.02374071441590786,190
668febad57480af249f904e5,2024-09-10T00:05:51.000Z,0.6980200409889221,0.12010982250372915,0.02563515305519104,287
668febad57480af249f904e5,2024-09-12T00:07:07.000Z,0.8072510957717896,0.11318899000373979,0.024876324459910393,288
668febad57480af249f904e5,2024-09-14T00:07:07.000Z,0.8679292798042297,0.09325149514173206,0.0199439637362957,285
668febad57480af249f904e5,2024-09-16T00:08:25.000Z,0.7901663780212402,0.10213304129946563,0.022134818136692047,288
668febad57480af249f904e5,2024-09-18T00:08:25.000Z,0.7065945863723755,0.06963668942141037,0.019057288765907288,288
668febad57480af249f904e5,2024-09-20T00:08:25.000Z,0.8039305210113525,0.10291552278672306,0.02332638017833233,284
668febad57480af249f904e5,2024-09-22T00:09:50.000Z,0.6284715533256531,0.05256628954601991,0.016569584608078003,288
668febad57480af249f904e5,2024-09-24T00:09:50.000Z,0.7459913492202759,0.04240544142925905,0.01796869747340679,288
668febad57480af249f904e5,2024-09-26T00:09:50.000Z,0.5579983592033386,0.09090078407381144,0.0195337925106287,288
668febad57480af249f904e5,2024-09-28T00:09:50.000Z,0.4043348729610443,0.08412602275791692,0.021171273663640022,287
668febad57480af249f904e5,2024-09-30T00:09:46.000Z,0.5750265121459961,0.04170120997716569,0.01790042407810688,144
668febad57480af249f904e5,2024-10-01T00:09:46.000Z,0.8810546398162842,0.09136141227050261,0.02076956070959568,143
668febad57480af249f904e5,2024-10-02T00:07:40.000Z,0.810533881187439,0.1165187126219583,0.021653760224580765,288
668febad57480af249f904e5,2024-10-04T00:07:40.000Z,0.8438284993171692,0.11333734302742171,0.02246801182627678,284
668febad57480af249f904e5,2024-10-06T00:02:12.000Z,0.33617493510246277,0.03999486967766574,0.01746928133070469,289
668febad57480af249f904e5,2024-10-08T00:07:35.000Z,0.10306700319051743,0.021652948066023074,0.017859015613794327,288
668febad57480af249f904e5,2024-10-10T00:07:35.000Z,0.023746894672513008,0.020715679151989106,0.017393358051776886,288
668febad57480af249f904e5,2024-10-12T00:07:35.000Z,0.023824220523238182,0.020975755417667743,0.017667537555098534,288
668febad57480af249f904e5,2024-10-14T00:07:35.000Z,0.35573315620422363,0.051655615421219006,0.018328983336687088,288
668febad57480af249f904e5,2024-10-16T00:07:35.000Z,0.6231476068496704,0.09506783232144597,0.02279100939631462,288
668febad57480af249f904e5,2024-10-18T00:07:35.000Z,0.8715802431106567,0.10098115815263656,0.02188374288380146,288
668febad57480af249f904e5,2024-10-20T00:07:35.000Z,0.7905447483062744,0.09204895141135369,0.02307053655385971,280
668febad57480af249f904e5,2024-10-22T00:08:48.000Z,0.8676512241363525,0.11294316482316288,0.022279661148786545,288
668febad57480af249f904e5,2024-10-24T00:08:48.000Z,0.48550376296043396,0.07612826543239255,0.022149624302983284,288
668febad57480af249f904e5,2024-10-26T00:08:48.000Z,1.5264637470245361,0.10413589666778636,0.020894121378660202,288
668febad57480af249f904e5,2024-10-28T00:08:48.000Z,0.5275116562843323,0.07880435711962895,0.021275505423545837,288
668febad57480af249f904e5,2024-10-30T00:08:48.000Z,0.9019403457641602,0.07478379224711615,0.02032805047929287,288
668febad57480af249f904e5,2024-11-01T00:08:48.000Z,0.11587896943092346,0.021484179512804583,0.017441963776946068,144
668febad57480af249f904e5,2024-11-02T00:08:48.000Z,0.2705944776535034,0.034572479830301824,0.017900429666042328,94
