Modelo,MAE,MSE,RMSE,AIC,R2,MAE_rank_RedutorGiroTraseiro,MSE_rank_RedutorGiroTraseiro,R2_rank_RedutorGiroTraseiro,AIC_rank_RedutorGiroTraseiro,RMSE_rank_RedutorGiroTraseiro,Total_rank_RedutorGiroTraseiro
SVR_AjusRedutorGiroTraseiro,3.8896791803494906,41.13803687949105,6.413894049599747,17.430530479437518,0.4801177612102847,3.0,3.0,2.0,1.0,3.0,12.0
RNNGRURedutorGiroTraseiro,3.3362877655029295,21.83143777566991,4.672412414981142,1806.1675515384552,0.6698389413814445,2.0,2.0,1.0,6.0,2.0,13.0
RNNLSTMRedutorGiroTraseiro,0.1085848134756088,0.0249358734460258,0.15791096683266112,1887.4276094159331,0.13113846766293047,1.0,1.0,3.0,7.0,1.0,13.0
SVRRedutorGiroTraseiro,5.222825828583851,81.80211079034069,9.044451934215843,231.02375847305086,-0.05508349012502256,4.0,4.0,5.0,3.0,4.0,20.0
RLMRedutorGiroTraseiro,6.311128609744139,81.9038369874688,9.050073866409534,27.623710283889494,-0.03927270993348464,5.0,5.0,4.0,2.0,5.0,21.0
SARIMAXRedutorGiroTraseiro,7.0933877470032245,108.45251476102726,10.41405371414164,1294.4246081325532,-0.08718446906589317,6.0,6.0,6.0,5.0,6.0,29.0
ARIMARedutorGiroTraseiro,18.08025949728386,342.38748491316386,18.503715435370374,1077.6894380649078,-23.337148198744693,7.0,7.0,7.0,4.0,7.0,32.0
