metricDescriptorId,datetime,max,avg,min,count
668fe7e957480af249edd965,2024-09-08T16:27:27.000Z,0.297183096408844,0.050190369275055435,0.014357740059494972,190
668fe7e957480af249edd965,2024-09-10T00:07:27.000Z,0.3081507384777069,0.05602016144526233,0.013068556785583496,287
668fe7e957480af249edd965,2024-09-12T00:08:18.000Z,0.24826861917972565,0.05103919389593001,0.012550199404358864,288
668fe7e957480af249edd965,2024-09-14T00:08:18.000Z,0.2887495160102844,0.04681599743247449,0.01302790641784668,286
668fe7e957480af249edd965,2024-09-16T00:01:58.000Z,0.4430691599845886,0.054529122995316155,0.018733471632003784,288
668fe7e957480af249edd965,2024-09-18T00:01:58.000Z,0.3162214457988739,0.04105949242107777,0.014648282900452614,288
668fe7e957480af249edd965,2024-09-20T00:01:58.000Z,0.5932424068450928,0.05541663266010058,0.015906408429145813,284
668fe7e957480af249edd965,2024-09-22T00:04:11.000Z,0.33941951394081116,0.03717131700573696,0.01424870453774929,288
668fe7e957480af249edd965,2024-09-24T00:04:11.000Z,0.17805908620357513,0.0335013832599442,0.016690483316779137,288
668fe7e957480af249edd965,2024-09-26T00:04:11.000Z,0.2885693907737732,0.04877216227921761,0.014937600120902061,288
668fe7e957480af249edd965,2024-09-28T00:04:11.000Z,0.3851504325866699,0.048362568718489825,0.017198650166392326,283
668fe7e957480af249edd965,2024-09-30T00:04:30.000Z,0.14759115874767303,0.03135934059456405,0.017703473567962646,144
668fe7e957480af249edd965,2024-10-01T00:04:30.000Z,0.2756418287754059,0.040857702962585264,0.016294747591018677,143
668fe7e957480af249edd965,2024-10-02T00:04:31.000Z,0.31807172298431396,0.0557325803319044,0.014422217383980751,288
668fe7e957480af249edd965,2024-10-04T00:04:31.000Z,0.2460463047027588,0.05202474985598472,0.015012828633189201,285
668fe7e957480af249edd965,2024-10-06T00:08:12.000Z,0.22302302718162537,0.03151437398951708,0.011822322383522987,288
668fe7e957480af249edd965,2024-10-08T00:02:38.000Z,0.03687004745006561,0.023722945822454575,0.018812034279108047,288
668fe7e957480af249edd965,2024-10-10T00:02:38.000Z,0.025871189311146736,0.02254215757905816,0.01817373000085354,288
668fe7e957480af249edd965,2024-10-12T00:02:38.000Z,0.026555273681879044,0.02260860593135779,0.01894022710621357,288
668fe7e957480af249edd965,2024-10-14T00:02:38.000Z,0.3244943916797638,0.036411069643994175,0.01534762978553772,288
668fe7e957480af249edd965,2024-10-16T00:02:38.000Z,0.5939040184020996,0.05411937733232561,0.014230138622224331,288
668fe7e957480af249edd965,2024-10-18T00:02:38.000Z,0.28135666251182556,0.05192643706040043,0.013312370516359806,288
668fe7e957480af249edd965,2024-10-20T00:02:38.000Z,0.26368826627731323,0.04975210377232148,0.01398011576384306,279
668fe7e957480af249edd965,2024-10-22T00:00:35.000Z,0.3410276770591736,0.05593881099290835,0.013004546985030174,288
668fe7e957480af249edd965,2024-10-24T00:00:35.000Z,0.32568326592445374,0.05120432682128416,0.010808215476572514,288
668fe7e957480af249edd965,2024-10-26T00:00:35.000Z,0.3883633017539978,0.05536318323963011,0.019596118479967117,288
668fe7e957480af249edd965,2024-10-28T00:00:35.000Z,0.20152929425239563,0.044238882123156346,0.0123258326202631,288
668fe7e957480af249edd965,2024-10-30T00:00:35.000Z,0.20220153033733368,0.045413925972146295,0.014669854193925858,288
668fe7e957480af249edd965,2024-11-01T00:00:35.000Z,0.06329324096441269,0.025235177936135895,0.01820424199104309,144
668fe7e957480af249edd965,2024-11-02T00:00:35.000Z,0.11215264350175858,0.027075255466134925,0.017922641709446907,95
