desc,desc_attributes,datetime,max,avg,min,count
EM3401 Bomba Seccao P1,velocity x,2024-09-03,13.095999717712402,3.3408439026938543,0.25505754351615906,9
EM3401 Bomba Seccao P1,velocity x,2024-09-04,17.09615707397461,6.552360821204881,0.23413382470607758,48
EM3401 Bomba Seccao P1,velocity x,2024-09-04,51.101558685302734,10.041409585624933,0.12931619584560394,48
EM3401 Bomba Seccao P1,velocity x,2024-09-04,18.980680465698242,6.936986390811701,0.17792539298534393,48
EM3401 Bomba Seccao P1,velocity x,2024-09-05,33.590702056884766,11.704828176026544,0.3820783197879791,48
EM3401 Bomba Seccao P1,velocity x,2024-09-05,25.868072509765625,8.607389631060263,0.19255736470222473,48
EM3401 Bomba Seccao P1,velocity x,2024-09-05,19.152667999267578,7.176418117557962,0.1964854896068573,48
EM3401 Bomba Seccao P1,velocity x,2024-09-06,32.180885314941406,9.574118422344327,0.26653435826301575,48
EM3401 Bomba Seccao P1,velocity x,2024-09-06,29.93157958984375,10.477799539919943,0.10263057798147202,48
EM3401 Bomba Seccao P1,velocity x,2024-09-06,23.71146011352539,8.920554356339077,0.17760424315929413,48
EM3401 Bomba Seccao P1,velocity x,2024-09-07,19.914222717285156,9.17855280265212,0.2504199743270874,48
EM3401 Bomba Seccao P1,velocity x,2024-09-07,16.310302734375,7.280642658472061,0.3036063611507416,48
EM3401 Bomba Seccao P1,velocity x,2024-09-07,34.03651809692383,3.9602421146507063,0.24991051852703094,48
EM3401 Bomba Seccao P1,velocity x,2024-09-08,23.06787109375,9.640657879412174,1.9344481229782104,48
EM3401 Bomba Seccao P1,velocity x,2024-09-08,17.471435546875,7.282212276632587,0.2178829461336136,48
EM3401 Bomba Seccao P1,velocity x,2024-09-08,24.39009666442871,7.517511295154691,0.1685502827167511,48
EM3401 Bomba Seccao P1,velocity x,2024-09-09,18.086965560913086,9.155912371973196,1.6156796216964722,48
EM3401 Bomba Seccao P1,velocity x,2024-09-09,21.960994720458984,8.721550308167934,0.27151763439178467,48
EM3401 Bomba Seccao P1,velocity x,2024-09-09,22.693784713745117,8.223011527210474,0.21813610196113586,48
EM3401 Bomba Seccao P1,velocity x,2024-09-10,27.14804458618164,10.407456350823244,1.7839374542236328,48
EM3401 Bomba Seccao P1,velocity x,2024-09-10,23.46719741821289,9.286997454240918,0.24360200762748718,48
EM3401 Bomba Seccao P1,velocity x,2024-09-10,25.985254287719727,9.000019400690993,0.3878040909767151,48
EM3401 Bomba Seccao P1,velocity x,2024-09-11,25.488462448120117,10.141277580522,0.13232187926769257,48
EM3401 Bomba Seccao P1,velocity x,2024-09-11,24.464977264404297,8.240473181819139,0.11751117557287216,46
EM3401 Bomba Seccao P1,velocity x,2024-09-11,20.370840072631836,6.871117166836154,0.15181846916675568,44
EM3401 Bomba Seccao P1,velocity x,2024-09-12,24.102554321289062,8.550059137865901,0.13369645178318024,48
EM3401 Bomba Seccao P1,velocity x,2024-09-12,22.569822311401367,8.532482141628861,0.12625627219676971,48
EM3401 Bomba Seccao P1,velocity x,2024-09-12,17.615768432617188,7.513246207187573,0.273557186126709,48
EM3401 Bomba Seccao P1,velocity x,2024-09-13,47.79105758666992,9.371937832795084,0.17192836105823517,48
EM3401 Bomba Seccao P1,velocity x,2024-09-13,16.68271827697754,7.227456260472536,0.3046656847000122,48
EM3401 Bomba Seccao P1,velocity x,2024-09-13,15.198446273803711,5.903228999425967,0.17630964517593384,48
EM3401 Bomba Seccao P1,velocity x,2024-09-14,21.458995819091797,9.613266376157602,1.8612290620803833,48
EM3401 Bomba Seccao P1,velocity x,2024-09-14,23.906429290771484,9.501976835230986,0.17568698525428772,48
EM3401 Bomba Seccao P1,velocity x,2024-09-14,28.09882354736328,6.967234235877792,0.20222344994544983,48
EM3401 Bomba Seccao P1,velocity x,2024-09-15,14.964339256286621,7.115264914308985,0.28935471177101135,48
EM3401 Bomba Seccao P1,velocity x,2024-09-15,9.92220687866211,0.8874956785390774,0.23508694767951965,48
EM3401 Bomba Seccao P1,velocity x,2024-09-15,15.602838516235352,4.008242104688416,0.23529796302318573,46
EM3401 Bomba Seccao P1,velocity x,2024-09-16,25.928346633911133,11.688311492403349,1.9745557308197021,48
EM3401 Bomba Seccao P1,velocity x,2024-09-16,21.74779510498047,8.02847863920033,0.3015027642250061,48
EM3401 Bomba Seccao P1,velocity x,2024-09-16,19.292089462280273,8.767567245910564,0.20504581928253174,48
EM3401 Bomba Seccao P1,velocity x,2024-09-17,25.428956985473633,7.966341524695356,0.18941272795200348,48
EM3401 Bomba Seccao P1,velocity x,2024-09-17,18.14195442199707,8.364028029764691,0.3782710134983063,48
EM3401 Bomba Seccao P1,velocity x,2024-09-17,22.429773330688477,7.315552612456183,0.24507001042366028,48
EM3401 Bomba Seccao P1,velocity x,2024-09-18,29.707813262939453,7.2355331896493835,0.23822596669197083,48
EM3401 Bomba Seccao P1,velocity x,2024-09-18,24.070663452148438,4.720100882152717,0.253976434469223,48
EM3401 Bomba Seccao P1,velocity x,2024-09-18,23.164411544799805,5.131371276142697,0.231618732213974,48
EM3401 Bomba Seccao P1,velocity x,2024-09-19,0.6238878965377808,0.36852354866762954,0.18461602926254272,48
EM3401 Bomba Seccao P1,velocity x,2024-09-19,35.35700988769531,6.223275760499139,0.232377290725708,48
EM3401 Bomba Seccao P1,velocity x,2024-09-19,18.411237716674805,7.523391614668071,0.1845955103635788,48
EM3401 Bomba Seccao P1,velocity x,2024-09-20,19.117237091064453,7.291383049140374,0.2905261218547821,48
EM3401 Bomba Seccao P1,velocity x,2024-09-20,19.512741088867188,7.880831486855944,0.23941797018051147,48
EM3401 Bomba Seccao P1,velocity x,2024-09-20,17.58126449584961,6.757624804663162,0.16862601041793823,48
EM3401 Bomba Seccao P1,velocity x,2024-09-21,19.6103458404541,8.443585678935051,1.8568272590637207,48
EM3401 Bomba Seccao P1,velocity x,2024-09-21,35.456199645996094,7.439449971852203,0.12967079877853394,48
EM3401 Bomba Seccao P1,velocity x,2024-09-21,21.89434051513672,6.335130845619873,0.2425795942544937,44
EM3401 Bomba Seccao P1,velocity x,2024-09-22,18.808427810668945,8.23807993469139,0.2574772536754608,48
EM3401 Bomba Seccao P1,velocity x,2024-09-22,19.306394577026367,7.916525057516992,0.17947989702224731,48
EM3401 Bomba Seccao P1,velocity x,2024-09-22,13.434170722961426,1.9887910323838394,0.13590839505195618,48
EM3401 Bomba Seccao P1,velocity x,2024-09-23,0.6631209850311279,0.43134621158242226,0.23031404614448547,48
EM3401 Bomba Seccao P1,velocity x,2024-09-23,5.7792134284973145,0.704960148781538,0.222344309091568,48
EM3401 Bomba Seccao P1,velocity x,2024-09-23,1.0380607843399048,0.5114474501460791,0.25195688009262085,48
EM3401 Bomba Seccao P1,velocity x,2024-09-24,0.8110693097114563,0.47759183309972286,0.29688936471939087,48
EM3401 Bomba Seccao P1,velocity x,2024-09-24,0.8277702331542969,0.41971525953461725,0.2461717426776886,48
EM3401 Bomba Seccao P1,velocity x,2024-09-24,20.97170639038086,2.4646217357367277,0.1856488138437271,48
EM3401 Bomba Seccao P1,velocity x,2024-09-25,22.838109970092773,4.90012373154362,0.28876087069511414,48
EM3401 Bomba Seccao P1,velocity x,2024-09-25,12.501319885253906,2.0693488738810024,0.129816934466362,48
EM3401 Bomba Seccao P1,velocity x,2024-09-25,24.593263626098633,4.721072086753945,0.1911037713289261,48
EM3401 Bomba Seccao P1,velocity x,2024-09-26,17.886449813842773,9.24206855458518,0.3086322546005249,48
EM3401 Bomba Seccao P1,velocity x,2024-09-26,18.090049743652344,7.020114622078836,0.13443170487880707,48
EM3401 Bomba Seccao P1,velocity x,2024-09-26,20.457847595214844,6.447370388545096,0.15516841411590576,48
EM3401 Bomba Seccao P1,velocity x,2024-09-27,16.963205337524414,4.563655082757275,0.1394500583410263,48
EM3401 Bomba Seccao P1,velocity x,2024-09-27,29.439987182617188,9.139243797709545,0.20673570036888123,48
EM3401 Bomba Seccao P1,velocity x,2024-09-27,18.495532989501953,7.119035245540242,0.2131279557943344,48
EM3401 Bomba Seccao P1,velocity x,2024-09-28,20.186874389648438,8.299371344658235,0.23108883202075958,48
EM3401 Bomba Seccao P1,velocity x,2024-09-28,21.73784637451172,8.870060812843883,0.18560487031936646,46
EM3401 Bomba Seccao P1,velocity x,2024-09-28,24.503957748413086,7.535855010814137,0.2473733276128769,45
EM3401 Bomba Seccao P1,velocity x,2024-09-29,18.62989616394043,6.535084432611863,0.2728273868560791,48
EM3401 Bomba Seccao P1,velocity x,2024-09-29,22.22774887084961,8.298299330597123,0.20361199975013733,48
EM3401 Bomba Seccao P1,velocity x,2024-09-29,16.10567283630371,4.013701027880113,0.2974662482738495,48
EM3401 Bomba Seccao P1,velocity x,2024-09-30,0.7687510251998901,0.4452582678447167,0.23526687920093536,48
EM3401 Bomba Seccao P1,velocity x,2024-09-30,16.999126434326172,2.56585451370726,0.24940918385982513,48
EM3401 Bomba Seccao P1,velocity x,2024-09-30,21.662288665771484,2.5352149872730174,0.1573241949081421,48
EM3401 Bomba Seccao P1,velocity x,2024-10-01,15.31950855255127,7.217533579096198,0.4885827600955963,48
EM3401 Bomba Seccao P1,velocity x,2024-10-01,31.819698333740234,7.83371639996767,0.2183396816253662,48
EM3401 Bomba Seccao P1,velocity x,2024-10-01,13.565264701843262,1.3007385325431824,0.22350555658340454,50
EM3401 Bomba Seccao P1,velocity x,2024-10-02,25.712148666381836,8.635746075461308,0.25206372141838074,48
EM3401 Bomba Seccao P1,velocity x,2024-10-02,22.964262008666992,8.192175762727857,0.14325657486915588,48
EM3401 Bomba Seccao P1,velocity x,2024-10-02,23.97519874572754,7.601477434237798,0.3597334921360016,48
EM3401 Bomba Seccao P1,velocity x,2024-10-03,24.44730567932129,9.747243295113245,0.3684931695461273,48
EM3401 Bomba Seccao P1,velocity x,2024-10-03,22.31435775756836,8.258185629732907,0.21627335250377655,48
EM3401 Bomba Seccao P1,velocity x,2024-10-03,23.741065979003906,7.510249451734126,0.2007094770669937,48
EM3401 Bomba Seccao P1,velocity x,2024-10-04,23.411527633666992,9.081346817314625,1.7925220727920532,48
EM3401 Bomba Seccao P1,velocity x,2024-10-04,31.999303817749023,8.806005457416177,0.2579748034477234,48
EM3401 Bomba Seccao P1,velocity x,2024-10-04,32.28925704956055,7.890529353171587,0.13703016936779022,48
EM3401 Bomba Seccao P1,velocity x,2024-10-05,27.747549057006836,7.931850582361221,0.33530765771865845,48
EM3401 Bomba Seccao P1,velocity x,2024-10-05,31.091068267822266,6.820116899286707,0.2255430966615677,48
EM3401 Bomba Seccao P1,velocity x,2024-10-05,19.01388931274414,5.539961767261443,0.242221862077713,46
EM3401 Bomba Seccao P1,velocity x,2024-10-06,20.479820251464844,4.436580566999813,0.23455965518951416,48
EM3401 Bomba Seccao P1,velocity x,2024-10-06,16.157527923583984,4.255061654529224,0.10126539319753647,48
EM3401 Bomba Seccao P1,velocity x,2024-10-06,16.988176345825195,2.678536158365508,0.1513376384973526,48
EM3401 Bomba Seccao P1,velocity x,2024-10-07,0.9488316178321838,0.4676403294627865,0.23286955058574677,48
EM3401 Bomba Seccao P1,velocity x,2024-10-07,0.8327223062515259,0.4462537277252116,0.23604664206504822,47
EM3401 Bomba Seccao P1,velocity x,2024-10-07,0.6448600888252258,0.4093119828030467,0.18710793554782867,48
EM3401 Bomba Seccao P1,velocity x,2024-10-08,0.7769956588745117,0.4282409055158496,0.22843915224075317,48
EM3401 Bomba Seccao P1,velocity x,2024-10-08,0.833838164806366,0.39772257022559643,0.19157923758029938,48
EM3401 Bomba Seccao P1,velocity x,2024-10-08,9.76378059387207,0.9397500387082497,0.25203073024749756,48
EM3401 Bomba Seccao P1,velocity x,2024-10-09,0.812324047088623,0.45292100061972934,0.26181760430336,48
EM3401 Bomba Seccao P1,velocity x,2024-10-09,0.7853875756263733,0.4177565968905886,0.2171906977891922,48
EM3401 Bomba Seccao P1,velocity x,2024-10-09,0.6841478943824768,0.4138395565872391,0.22978796064853668,48
EM3401 Bomba Seccao P1,velocity x,2024-10-10,0.6453126072883606,0.36314284677306813,0.2017662525177002,48
EM3401 Bomba Seccao P1,velocity x,2024-10-10,0.596863329410553,0.38593148688475293,0.19317324459552765,48
EM3401 Bomba Seccao P1,velocity x,2024-10-10,0.7116076350212097,0.40165273565799,0.24223186075687408,48
EM3401 Bomba Seccao P1,velocity x,2024-10-11,0.7787486910820007,0.3567736654852827,0.2023533582687378,48
EM3401 Bomba Seccao P1,velocity x,2024-10-11,0.8044573068618774,0.3439823758477966,0.1658739447593689,48
EM3401 Bomba Seccao P1,velocity x,2024-10-11,0.6118717193603516,0.38530300464481115,0.22414639592170715,48
EM3401 Bomba Seccao P1,velocity x,2024-10-12,0.5849403738975525,0.35325983942796785,0.15751759707927704,48
EM3401 Bomba Seccao P1,velocity x,2024-10-12,0.6379327178001404,0.33608757704496384,0.18306823074817657,48
EM3401 Bomba Seccao P1,velocity x,2024-10-12,0.7685120701789856,0.3972863887126247,0.22004278004169464,48
EM3401 Bomba Seccao P1,velocity x,2024-10-13,0.6837142109870911,0.34668732589731616,0.21649406850337982,48
EM3401 Bomba Seccao P1,velocity x,2024-10-13,0.6362154483795166,0.3183477135996024,0.17973266541957855,48
EM3401 Bomba Seccao P1,velocity x,2024-10-13,0.8560337424278259,0.3811574848368764,0.20977355539798737,48
EM3401 Bomba Seccao P1,velocity x,2024-10-14,0.7102633118629456,0.32794944165895384,0.14600664377212524,48
EM3401 Bomba Seccao P1,velocity x,2024-10-14,0.6947962045669556,0.3470120516916116,0.17740266025066376,48
EM3401 Bomba Seccao P1,velocity x,2024-10-14,9.639653205871582,0.7599524405474464,0.1772317737340927,48
EM3401 Bomba Seccao P1,velocity x,2024-10-15,21.090829849243164,8.034190510710081,1.9068350791931152,48
EM3401 Bomba Seccao P1,velocity x,2024-10-15,26.940963745117188,4.098119985312223,0.17001892626285553,48
EM3401 Bomba Seccao P1,velocity x,2024-10-15,22.53510856628418,5.9784912671893835,0.14731937646865845,48
EM3401 Bomba Seccao P1,velocity x,2024-10-16,25.463193893432617,6.923983759246767,0.1841387003660202,48
EM3401 Bomba Seccao P1,velocity x,2024-10-16,19.44898223876953,6.969799138605595,0.21342681348323822,48
EM3401 Bomba Seccao P1,velocity x,2024-10-16,16.98519515991211,7.9749323159145815,0.12269943207502365,48
EM3401 Bomba Seccao P1,velocity x,2024-10-17,27.8826847076416,8.074008615066608,0.21297401189804077,48
EM3401 Bomba Seccao P1,velocity x,2024-10-17,26.251445770263672,9.16113937087357,0.13109204173088074,48
EM3401 Bomba Seccao P1,velocity x,2024-10-17,23.263174057006836,6.700718894911309,0.22889791429042816,48
EM3401 Bomba Seccao P1,velocity x,2024-10-18,27.961223602294922,8.766502564152082,1.6370394229888916,48
EM3401 Bomba Seccao P1,velocity x,2024-10-18,28.332653045654297,8.301828742337724,0.195981964468956,48
EM3401 Bomba Seccao P1,velocity x,2024-10-18,45.76694869995117,8.84049072333922,0.20458419620990753,48
EM3401 Bomba Seccao P1,velocity x,2024-10-19,28.924301147460938,9.500349215542277,0.22808483242988586,48
EM3401 Bomba Seccao P1,velocity x,2024-10-19,15.652544021606445,4.559195790439844,0.21918518841266632,48
EM3401 Bomba Seccao P1,velocity x,2024-10-19,20.099233627319336,8.658585776885351,0.21948616206645966,48
EM3401 Bomba Seccao P1,velocity x,2024-10-20,32.75893020629883,6.261243442694346,0.29975903034210205,48
EM3401 Bomba Seccao P1,velocity x,2024-10-20,23.384607315063477,8.107092497125269,0.18744634091854095,40
EM3401 Bomba Seccao P1,velocity x,2024-10-20,20.28123664855957,5.6431560124805635,0.18076996505260468,94
EM3401 Bomba Seccao P1,velocity x,2024-10-21,31.135845184326172,7.388702009494106,0.3045046925544739,96
EM3401 Bomba Seccao P1,velocity x,2024-10-21,18.9429874420166,6.584112496115267,0.12446175515651703,96
EM3401 Bomba Seccao P1,velocity x,2024-10-21,15.965620994567871,7.076104139909148,0.23779013752937317,96
EM3401 Bomba Seccao P1,velocity x,2024-10-22,19.579307556152344,8.951847968623042,0.2426449954509735,96
EM3401 Bomba Seccao P1,velocity x,2024-10-22,29.642074584960938,8.563436159087965,0.11133978515863419,96
EM3401 Bomba Seccao P1,velocity x,2024-10-22,21.74445915222168,7.74240752744178,0.28811225295066833,96
EM3401 Bomba Seccao P1,velocity x,2024-10-23,27.809181213378906,8.834563673784336,0.2942868769168854,96
EM3401 Bomba Seccao P1,velocity x,2024-10-23,34.05389404296875,9.904285591406127,0.2118414044380188,96
EM3401 Bomba Seccao P1,velocity x,2024-10-23,26.495908737182617,8.011459549733749,0.12450513988733292,96
EM3401 Bomba Seccao P1,velocity x,2024-10-24,46.377296447753906,8.01510950922966,0.28925248980522156,96
EM3401 Bomba Seccao P1,velocity x,2024-10-24,29.00289535522461,9.114129607876142,0.21548329293727875,96
EM3401 Bomba Seccao P1,velocity x,2024-10-24,31.44982147216797,7.354668977359931,0.15956638753414154,96
EM3401 Bomba Seccao P1,velocity x,2024-10-25,18.25748634338379,7.851771743968129,0.3008454740047455,96
EM3401 Bomba Seccao P1,velocity x,2024-10-25,28.47395896911621,6.598485409282148,0.14635074138641357,96
EM3401 Bomba Seccao P1,velocity x,2024-10-25,18.441829681396484,4.006749316118658,0.12680457532405853,96
EM3401 Bomba Seccao P1,velocity x,2024-10-26,25.838470458984375,8.242806261405349,0.3543488681316376,96
EM3401 Bomba Seccao P1,velocity x,2024-10-26,25.376392364501953,7.400950821116567,0.1778239905834198,96
EM3401 Bomba Seccao P1,velocity x,2024-10-26,28.026756286621094,5.368729106461008,0.12604592740535736,96
EM3401 Bomba Seccao P1,velocity x,2024-10-27,21.34966468811035,7.040853149878482,0.14192964136600494,96
EM3401 Bomba Seccao P1,velocity x,2024-10-27,21.70125961303711,6.612522603943944,0.27144479751586914,96
EM3401 Bomba Seccao P1,velocity x,2024-10-27,29.285612106323242,8.558051014319062,0.17577746510505676,96
EM3401 Bomba Seccao P1,velocity x,2024-10-28,17.54469108581543,5.880344377830625,0.17692328989505768,96
EM3401 Bomba Seccao P1,velocity x,2024-10-28,24.859350204467773,5.107398502839108,0.18587251007556915,96
EM3401 Bomba Seccao P1,velocity x,2024-10-28,28.302608489990234,8.418323680137595,0.20224273204803467,96
EM3401 Bomba Seccao P1,velocity x,2024-10-29,20.340200424194336,7.580413072680433,0.19462540745735168,96
EM3401 Bomba Seccao P1,velocity x,2024-10-29,17.841243743896484,6.121218767327567,0.14108169078826904,96
EM3401 Bomba Seccao P1,velocity x,2024-10-29,11.64455509185791,1.3563162715484698,0.18604561686515808,96
EM3401 Bomba Seccao P1,velocity x,2024-10-30,29.68317413330078,7.839543471733729,0.24376848340034485,96
EM3401 Bomba Seccao P1,velocity x,2024-10-30,20.43354606628418,6.676543270548184,0.2549329400062561,96
EM3401 Bomba Seccao P1,velocity x,2024-10-30,14.0927734375,5.221871643016736,0.2781834900379181,96
EM3401 Bomba Seccao P1,velocity x,2024-10-31,22.46566390991211,9.383213025828203,1.4951387643814087,96
EM3401 Bomba Seccao P1,velocity x,2024-10-31,16.714061737060547,1.3344913792485993,0.16349226236343384,96
EM3401 Bomba Seccao P1,velocity x,2024-10-31,0.5217974185943604,0.3250759703417619,0.14701707661151886,96
EM3401 Bomba Seccao P1,velocity x,2024-11-01,0.7320861220359802,0.3646241755535205,0.17860323190689087,96
EM3401 Bomba Seccao P1,velocity x,2024-11-01,9.694647789001465,0.6606113451222578,0.19061335921287537,96
EM3401 Bomba Seccao P1,velocity x,2024-11-01,1.975193977355957,0.5381581901262203,0.252829909324646,96
