Modelo,MAE,MSE,RMSE,AIC,R2
SARIMAXRedutorGiroTraseiro,7.0933877470032245,108.45251476102726,10.41405371414164,1294.4246081325532,-0.08718446906589317
SARIMAXRedutorGiroFrontal,7.342954096584654,109.24177409709864,10.451878974476246,1317.9895246830492,-0.084150822167125
RNNGRURedutorGiroTraseiro,3.3362877655029295,21.83143777566991,4.672412414981142,1806.1675515384552,0.6698389413814445
RNNGRURedutorGiroFrontal,3.655057373046875,25.405185765146744,5.040355718116207,1813.7476658584008,0.6362039796724395
RNNLSTMRedutorGiroTraseiro,0.1085848134756088,0.0249358734460258,0.15791096683266112,1887.4276094159331,0.13113846766293047
RNNLSTMRedutorGiroFrontal,0.12784825781981152,0.03142654684548985,0.17727534189923272,1898.9948848843676,-0.03684707550532451
RLMRedutorGiroTraseiro,6.311128609744139,81.9038369874688,9.050073866409534,27.623710283889494,-0.03927270993348464
RLMRedutorGiroFrontal,6.3768307042084,77.17303651732199,8.784818525007902,24.529933295597637,-0.0390362820552026
ARIMARedutorGiroTraseiro,18.08025949728386,342.38748491316386,18.503715435370374,1077.6894380649078,-23.337148198744693
ARIMARedutorGiroFrontal,17.601269427667614,327.321724465014,18.092034834838618,1094.7334082331363,-17.867196861735362
SVRRedutorGiroTraseiro,5.222825828583851,81.80211079034069,9.044451934215843,231.02375847305086,-0.05508349012502256
SVRRedutorGiroFrontal,5.2661634439043,75.58621765750267,8.694033451597864,226.9142459432969,-0.019313090829290447
SVR_AjusRedutorGiroTraseiro,3.8896791803494906,41.13803687949105,6.413894049599747,17.430530479437518,0.4801177612102847
SVR_AjusRedutorGiroFrontal,4.113933687078554,37.11417272172744,6.092140241469121,12.386752018218438,0.5463697378086562
